property_type,society,sector,price_in_cr,total_area_sqft,bedrooms,bathrooms,balcony,servant_room,store_room,facing,furnishing_type,age_possession,area_bedroom_ratio,luxury_category,floornum_category
Independent House,Vatika Signature Villas,sector 82,15.0,5040.0,6,7,3+,1,1,north-east,Semi-Furnished,Moderately Old,840.0,Luxury,Low-rise
Independent Builder Floor,BPTP Green Oaks,sector 70,2.0,1350.0,3,2,2,1,0,north-east,Unfurnished,Relatively New,450.0,Budget,Low-rise
Flat,tata gurgaon gateway,sector 112,3.2,2215.0,3,3,3,0,0,north-east,Unfurnished,Relatively New,738.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,"Sushant Lok Phase 1, Gurgaon",sector 43,3.95,2700.0,4,5,2,1,0,east,Furnished,New Property,675.0,Semi-Luxury,Low-rise
Flat,mapsko paradise,sector 83,1.34,1340.0,3,3,3,0,0,north-east,Unfurnished,Relatively New,446.6666666666667,Luxury,Mid-rise
Independent Builder Floor,"Green Meadows, DLF Phase 4",sector 28,3.75,1600.0,3,4,2,1,0,south-west,Semi-Furnished,New Property,533.3333333333334,Semi-Luxury,Low-rise
Independent Builder Floor,"Block G Sector-57, Gurgaon",sector 57,2.85,2474.0,4,4,2,0,0,north-east,Unfurnished,New Property,618.5,Budget,Low-rise
Flat,pioneer urban presidia,sector 62,6.1,2440.0,3,5,3,1,0,east,Unfurnished,Old Property,813.3333333333334,Semi-Luxury,Mid-rise
Independent Builder Floor,BPTP Green Oaks,sector 70,2.15,1350.0,3,2,3,0,0,north-east,Semi-Furnished,New Property,450.0,Luxury,Low-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.66,2750.0,4,4,3,1,0,east,Semi-Furnished,New Property,687.5,Budget,Low-rise
Flat,emaar mgf the palm drive,sector 66,5.21,2625.0,4,4,2,1,0,north,Semi-Furnished,Moderately Old,656.25,Luxury,Mid-rise
Flat,tulip violet,sector 69,2.3,1578.0,3,3,2,0,0,east,Unfurnished,New Property,526.0,Luxury,Mid-rise
Independent Builder Floor,"B Block Sushant Lok Phase 1, Gurgaon",sector 43,4.31,2700.0,4,4,3,1,0,north-east,Unfurnished,New Property,675.0,Semi-Luxury,Low-rise
Flat,adani m2k oyster grande,sector 102,3.65,3198.0,4,5,3+,1,0,south,Unfurnished,Relatively New,799.5,Luxury,Mid-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,2.7,1852.0,3,3,3,0,0,north-east,Unfurnished,Relatively New,617.3333333333334,Semi-Luxury,Mid-rise
Independent House,Unitech Nirvana Birch Court,sector 50,11.5,2583.0,4,4,3+,1,1,east,Unfurnished,Old Property,645.75,Semi-Luxury,Low-rise
Flat,experion windchants,sector 112,7.68,4739.0,4,5,3+,1,0,north-west,Unfurnished,Relatively New,1184.75,Semi-Luxury,Mid-rise
Independent House,"DLF Phase 2, Gurgaon",sector 25,15.15,3600.0,6,7,3+,1,1,north-east,Semi-Furnished,Moderately Old,600.0,Luxury,Low-rise
Flat,signature global city,sector 37,1.55,1250.0,3,3,3,0,0,east,Unfurnished,Relatively New,416.6666666666667,Budget,Low-rise
Independent Builder Floor,"U Block DLF Phase 3, Gurgaon",sector 24,5.5,3618.0,4,4,3+,1,1,east,Semi-Furnished,New Property,904.5,Luxury,Low-rise
Independent House,"New, Gurgaon",Dwarka Expressway Belt,2.2,748.0,2,1,2,0,0,not available,Unfurnished,Old Property,374.0,Budget,Low-rise
Flat,antriksh heights,sector 84,1.48,1725.0,3,3,3+,0,0,north,Unfurnished,Relatively New,575.0,Semi-Luxury,Low-rise
Independent Builder Floor,Luxury Homes By Horiizon Ventures,sector 28,4.5,3276.0,4,4,2,1,1,east,Semi-Furnished,Relatively New,819.0,Luxury,Low-rise
Independent House,"Huda, Gurgaon",sector 4,15.0,4140.0,6,5,3+,1,0,south-west,Semi-Furnished,Old Property,690.0,Budget,Low-rise
Flat,vatika lifestyle homes,sector 83,1.55,1550.0,3,2,1,0,0,not available,Unfurnished,Relatively New,516.6666666666666,Semi-Luxury,Low-rise
Flat,unitech fresco,sector 50,2.6,1629.0,3,2,3,1,0,north-east,Unfurnished,Relatively New,543.0,Luxury,Mid-rise
Independent Builder Floor,"Malibu Town, Gurgaon",sector 47,3.5,2300.0,3,4,2,0,0,west,Unfurnished,New Property,766.6666666666666,Budget,Low-rise
Independent House,BPTP Amstoria,sector 102,5.7,1854.0,4,3,3,0,1,north-east,Unfurnished,New Property,463.5,Luxury,Low-rise
Flat,shree vardhman victoria,sector 70,1.75,1350.0,2,2,3,0,0,north-east,Unfurnished,Relatively New,675.0,Semi-Luxury,Mid-rise
Independent House,"DLF Phase 2, Gurgaon",sector 25,12.0,2700.0,9,9,3+,1,1,east,Semi-Furnished,Moderately Old,300.0,Budget,Low-rise
Flat,spaze privy at4,sector 84,2.1,1918.0,3,3,3+,0,0,north,Unfurnished,Relatively New,639.3333333333334,Semi-Luxury,Low-rise
Flat,puri diplomatic greens,sector 111,4.75,2950.0,4,5,3+,1,0,north-east,Unfurnished,Relatively New,737.5,Luxury,Mid-rise
Independent Builder Floor,BPTP Green Oaks,sector 70,1.9,1450.0,3,3,2,1,1,north,Semi-Furnished,Relatively New,483.3333333333333,Semi-Luxury,Low-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.4,2250.0,4,3,2,0,0,north-east,Semi-Furnished,Relatively New,562.5,Budget,Low-rise
Flat,mapsko royale ville,sector 82,1.86,1790.0,3,4,2,1,0,south-east,Unfurnished,Moderately Old,596.6666666666666,Semi-Luxury,Mid-rise
Flat,shapoorji pallonji joyville gurugram,sector 102,3.25,2162.0,4,4,3,0,0,east,Unfurnished,Relatively New,540.5,Semi-Luxury,Low-rise
Independent Builder Floor,Brand New Builder Floor,sector 43,4.4,2700.0,4,5,2,1,0,east,Semi-Furnished,New Property,675.0,Semi-Luxury,Low-rise
Independent House,"B Block Pocket B Palam Vihar, Gurgaon",sector 1,2.2,594.0,3,3,3+,0,0,east,Unfurnished,Moderately Old,198.0,Budget,Low-rise
Flat,puri emerald bay,sector 104,2.15,1550.0,2,2,2,0,0,north-east,Unfurnished,Relatively New,775.0,Budget,Mid-rise
Flat,puri diplomatic greens,sector 111,5.0,2950.0,4,5,3+,1,0,north-east,Unfurnished,Relatively New,737.5,Luxury,Mid-rise
Independent Builder Floor,DLF Garden City Floors,sector 92,2.75,2250.0,4,4,2,0,0,north-west,Semi-Furnished,New Property,562.5,Budget,Low-rise
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,5.3,4500.0,4,4,2,0,0,south,Unfurnished,New Property,1125.0,Budget,Low-rise
Independent House,Sector 40,sector 40,7.7,2367.0,9,9,3+,0,0,north-east,Semi-Furnished,Moderately Old,263.0,Budget,Low-rise
Independent Builder Floor,Private Builder Floor,sector 46,4.0,3500.0,4,4,2,1,0,north-east,Semi-Furnished,Relatively New,875.0,Luxury,Low-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.95,2700.0,4,4,3,1,1,north-east,Unfurnished,Relatively New,675.0,Semi-Luxury,Low-rise
Flat,bestech altura,sector 79,2.6,2050.0,3,3,3+,0,0,north,Semi-Furnished,New Property,683.3333333333334,Luxury,Low-rise
Flat,godrej nature plus,sector 33,1.4,822.0,2,2,3,0,0,east,Unfurnished,New Property,411.0,Semi-Luxury,Mid-rise
Flat,central park flower valley aqua front towers,sector 33,2.65,1789.0,3,3,3,0,0,north-east,Unfurnished,New Property,596.3333333333334,Semi-Luxury,Mid-rise
Flat,parsvnath exotica,sector 53,5.65,2895.0,3,4,3+,1,0,north-west,Semi-Furnished,Old Property,965.0,Semi-Luxury,Low-rise
Flat,ss the leaf,sector 85,2.7,2408.0,3,3,3,0,0,north-east,Unfurnished,Relatively New,802.6666666666666,Luxury,Mid-rise
Flat,mapsko paradise,sector 83,1.38,1340.0,3,3,3,0,0,west,Unfurnished,Moderately Old,446.6666666666667,Semi-Luxury,Low-rise
Independent House,Eros Rosewood City,sector 49,4.25,1377.0,3,3,2,0,0,south-west,Unfurnished,Old Property,459.0,Budget,Low-rise
Flat,paras irene,sector 70,2.87,1830.0,3,3,2,0,0,east,Unfurnished,Relatively New,610.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Block A South City 2, Gurgaon",sector 49,3.45,2502.0,4,4,2,1,0,not available,Semi-Furnished,New Property,625.5,Budget,Low-rise
Independent House,"Sushant Lok, Gurgaon",sector 43,17.5,4500.0,6,6,3+,1,0,north-east,Unfurnished,Relatively New,750.0,Semi-Luxury,Low-rise
Flat,sobha city,sector 108,2.6,1381.0,2,2,2,0,0,north-east,Unfurnished,New Property,690.5,Luxury,Mid-rise
Flat,bestech park view city 2,sector 49,3.15,1859.0,3,4,3+,1,0,north,Unfurnished,Old Property,619.6666666666666,Luxury,Mid-rise
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,5.25,3600.0,4,5,3,1,0,east,Semi-Furnished,Relatively New,900.0,Budget,Low-rise
Flat,ats tourmaline,sector 109,2.58,2150.0,3,4,3+,1,0,east,Unfurnished,Relatively New,716.6666666666666,Semi-Luxury,Mid-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.54,2000.0,4,4,2,1,0,north-east,Semi-Furnished,New Property,500.0,Luxury,Low-rise
Independent Builder Floor,"Sushant Lok Phase 3, Gurgaon",sector 57,3.2,2160.0,3,3,1,1,0,east,Semi-Furnished,New Property,720.0,Semi-Luxury,Low-rise
Flat,krisumi waterfall residences,sector 36,4.8,2538.0,3,3,3,1,0,east,Unfurnished,Relatively New,846.0,Luxury,Low-rise
Flat,experion windchants,sector 112,7.25,4848.0,4,4,3,1,0,north,Semi-Furnished,New Property,1212.0,Luxury,Mid-rise
Independent House,"Sector 57, Gurgaon",sector 57,7.5,1467.0,2,2,3,0,1,east,Semi-Furnished,New Property,733.5,Semi-Luxury,Low-rise
Flat,puri emerald bay,sector 104,2.42,1700.0,2,3,3,1,0,not available,Unfurnished,Relatively New,850.0,Budget,Mid-rise
Independent Builder Floor,Signature Global Park,Greater Gurugram - Sohna Region,1.2,1440.0,3,3,3+,0,0,north-east,Semi-Furnished,New Property,480.0,Semi-Luxury,Low-rise
Independent House,International City by SOBHA Phase 2,sector 109,9.0,4500.0,4,5,3+,1,0,west,Unfurnished,Relatively New,1125.0,Budget,Low-rise
Independent House,"Greenwood City, Gurgaon",sector 45,9.1,2160.0,4,5,3+,1,1,west,Semi-Furnished,Moderately Old,540.0,Luxury,Low-rise
Independent Builder Floor,"Sector 65, Gurgaon",sector 65,5.5,2400.0,4,4,2,0,0,east,Unfurnished,New Property,600.0,Budget,Low-rise
Independent House,"Sector 5, Gurgaon",sector 5,5.5,2367.0,4,4,3+,0,0,south-east,Unfurnished,Relatively New,591.75,Semi-Luxury,Low-rise
Independent House,International City by Sobha Phase 1,sector 109,9.25,2430.0,5,4,3,1,0,west,Unfurnished,Relatively New,486.0,Semi-Luxury,Low-rise
Flat,tulip crimson,sector 70,4.3,3090.0,4,4,3+,1,0,east,Semi-Furnished,New Property,772.5,Semi-Luxury,High-rise
Independent House,Ireo Skyon,sector 60,3.9,1919.0,3,3,3,1,0,west,Unfurnished,Moderately Old,639.6666666666666,Budget,Mid-rise
Independent House,Uppal Southend,sector 49,10.8,2799.0,5,5,2,1,1,north,Semi-Furnished,Moderately Old,559.8,Semi-Luxury,Low-rise
Flat,experion windchants,sector 112,4.45,2802.0,3,3,2,1,0,north,Semi-Furnished,New Property,934.0,Luxury,High-rise
Flat,central park flower valley aqua front towers,sector 33,2.49,1789.0,3,3,3+,0,0,north,Semi-Furnished,Relatively New,596.3333333333334,Luxury,Low-rise
Independent House,Vipul Tatvam Villa,sector 48,11.5,4000.0,4,5,2,1,1,north,Semi-Furnished,Moderately Old,1000.0,Semi-Luxury,Low-rise
Flat,emaar mgf emerald estate,sector 65,2.07,1020.0,2,2,2,0,0,north-east,Semi-Furnished,Relatively New,510.0,Luxury,Mid-rise
Flat,smart world gems,sector 89,1.65,1495.0,3,3,2,0,0,north,Unfurnished,Relatively New,498.3333333333333,Semi-Luxury,Low-rise
Independent House,"Palam Vihar, Gurgaon",Old Gurgaon,6.65,4800.0,9,9,3+,0,0,east,Unfurnished,Moderately Old,533.3333333333334,Budget,Low-rise
Independent House,"DLF Phase 2, Gurgaon",sector 25,25.0,4500.0,9,10,3,1,0,north-east,Semi-Furnished,Relatively New,500.0,Budget,Low-rise
Independent House,Unitech Espace,sector 50,11.0,2610.0,4,5,3+,1,0,east,Semi-Furnished,Old Property,652.5,Budget,Low-rise
Independent Builder Floor,Ansal Sushant Residency,sector 57,3.29,2700.0,4,4,2,1,0,west,Semi-Furnished,New Property,675.0,Semi-Luxury,Low-rise
Independent House,Huda Flats,sector 57,8.0,2367.0,9,9,3+,0,1,west,Furnished,Relatively New,263.0,Budget,Low-rise
Independent House,"Palam Vihar, Gurgaon",Old Gurgaon,5.1,1557.0,6,6,3+,1,0,east,Unfurnished,Old Property,259.5,Budget,Low-rise
Independent Builder Floor,Smart World Gems,sector 89,1.95,1637.0,3,3,2,0,0,west,Unfurnished,Relatively New,545.6666666666666,Semi-Luxury,Low-rise
Flat,chintels serenity,sector 109,2.93,1955.0,3,4,3+,1,1,north-east,Unfurnished,Relatively New,651.6666666666666,Luxury,Mid-rise
Flat,ireo the corridors,sector 67,3.05,1852.0,3,4,2,1,0,north-east,Unfurnished,New Property,617.3333333333334,Semi-Luxury,Mid-rise
Independent House,Ansals Florence Villa,sector 57,7.5,3800.0,4,4,3+,1,1,north-east,Unfurnished,Moderately Old,950.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Palam Vihar, Gurgaon",Old Gurgaon,3.65,4680.0,4,5,2,1,1,south,Unfurnished,Relatively New,1170.0,Budget,Low-rise
Independent House,"Ansal Sec-49,Gurgaon(Haryana)",sector 49,15.5,4725.0,5,6,1,1,1,north-east,Unfurnished,Moderately Old,945.0,Budget,Low-rise
Flat,sobha city,sector 108,3.5,1711.0,3,3,2,0,1,east,Unfurnished,New Property,570.3333333333334,Semi-Luxury,High-rise
Independent Builder Floor,"Malibu Town, Gurgaon",sector 47,2.25,2640.0,3,3,1,0,0,west,Unfurnished,Old Property,880.0,Budget,Low-rise
Flat,dlf the primus,sector 82,4.4,2576.0,4,4,3+,1,0,east,Furnished,Moderately Old,644.0,Semi-Luxury,High-rise
Independent Builder Floor,"Sector 45, Gurgaon",sector 45,2.69,1836.0,3,3,2,0,0,north-east,Furnished,Relatively New,612.0,Budget,Low-rise
Flat,tulip purple,sector 69,2.75,2400.0,4,5,3+,1,0,east,Unfurnished,Relatively New,600.0,Semi-Luxury,Low-rise
Independent House,Emaar MGF The Vilas,sector 25,21.0,3240.0,6,8,3+,1,1,north-east,Furnished,Moderately Old,540.0,Luxury,Low-rise
Flat,emaar mgf the palm drive,sector 66,4.1,1900.0,3,3,3,0,1,east,Furnished,Relatively New,633.3333333333334,Luxury,Low-rise
Flat,ss the leaf,sector 85,1.85,1640.0,2,3,3,0,0,north-east,Unfurnished,Relatively New,820.0,Luxury,Low-rise
Independent Builder Floor,Unitech South City 2,sector 50,3.4,2160.0,3,3,2,1,0,north-east,Unfurnished,New Property,720.0,Semi-Luxury,Low-rise
Flat,emaar mgf palm terraces select,sector 66,4.1,2410.0,4,5,3+,1,0,not available,Semi-Furnished,Relatively New,602.5,Semi-Luxury,Low-rise
Independent Builder Floor,DLF PHASE - 1,sector 26,4.35,2250.0,4,4,2,1,0,east,Semi-Furnished,Relatively New,562.5,Budget,Low-rise
Independent House,Assotech Blith,sector 99,7.49,2583.0,5,5,3+,1,0,east,Unfurnished,Relatively New,516.6,Semi-Luxury,Low-rise
Flat,adani m2k oyster grande,sector 102,2.45,1689.0,3,4,3,0,0,north-east,Unfurnished,Relatively New,563.0,Semi-Luxury,Mid-rise
Flat,silverglades the ivy,sector 28,9.5,3800.0,4,4,3+,1,0,north-east,Unfurnished,Moderately Old,950.0,Luxury,Mid-rise
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,6.5,3600.0,4,4,2,1,0,north-east,Furnished,Relatively New,900.0,Luxury,Low-rise
Independent House,"Sector 50, Gurgaon",sector 50,11.9,3375.0,1,1,1,0,0,north,Unfurnished,Relatively New,3375.0,Budget,Low-rise
Flat,m3m heights,sector 65,3.38,1828.0,3,3,3,0,0,east,Unfurnished,Relatively New,609.3333333333334,Luxury,Low-rise
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,3.33,2000.0,3,3,2,1,0,north-east,Semi-Furnished,New Property,666.6666666666666,Budget,Low-rise
Flat,spaze privvy the address,sector 93,3.8,3000.0,4,4,1,1,0,east,Unfurnished,Moderately Old,750.0,Luxury,Mid-rise
Flat,ireo the corridors,sector 67,2.12,1296.0,2,2,3,0,1,east,Semi-Furnished,Relatively New,648.0,Luxury,Low-rise
Independent House,"B1 Block Sector 57, Gurgaon",sector 57,5.0,2100.0,3,4,3,1,0,south,Unfurnished,New Property,700.0,Budget,Low-rise
Independent Builder Floor,m3m mall,sector 57,3.4,2160.0,4,4,2,1,0,north-east,Unfurnished,New Property,540.0,Budget,Low-rise
Independent House,"Sector 30, Gurgaon",sector 30,6.7,1836.0,9,9,3+,0,0,north-east,Semi-Furnished,Moderately Old,204.0,Luxury,Low-rise
Flat,"amoda i, birla navya",sector 63,8.0,3621.0,4,5,3+,0,1,north-west,Furnished,Relatively New,905.25,Budget,Low-rise
Independent House,urban Home,sector 105,1.24,910.0,3,3,1,0,0,west,Unfurnished,New Property,303.3333333333333,Budget,Low-rise
Flat,smart world orchard,sector 61,2.65,1595.0,3,3,3,0,0,north-west,Unfurnished,Relatively New,531.6666666666666,Luxury,Low-rise
Flat,brisk lumbini terrace homes,sector 109,1.95,2177.0,3,4,3+,1,0,north-east,Semi-Furnished,Relatively New,725.6666666666666,Luxury,Low-rise
Flat,the citizen,sector 51,5.0,5200.0,4,5,3+,1,1,south,Unfurnished,Moderately Old,1300.0,Luxury,Mid-rise
Flat,emaar mgf the palm drive,sector 66,4.2,2100.0,4,4,3,1,0,north-east,Unfurnished,Moderately Old,525.0,Luxury,Low-rise
Independent Builder Floor,Whiteland Blissville,sector 76,2.15,1656.0,3,2,2,0,0,north-east,Unfurnished,New Property,552.0,Semi-Luxury,Low-rise
Independent House,6 Marla Duplex House,sector 43,6.5,3500.0,4,4,2,1,1,west,Unfurnished,Relatively New,875.0,Budget,Low-rise
Flat,vipul lavanya,sector 81,1.8,2225.0,4,5,3,1,0,east,Semi-Furnished,Moderately Old,556.25,Budget,Mid-rise
Independent Builder Floor,"Block C, Sushant Lok Phase 1, Gurgaon",sector 43,4.1,2700.0,4,4,2,1,1,east,Unfurnished,New Property,675.0,Semi-Luxury,Low-rise
Independent House,Anant Raj Estates,sector 63,11.5,2700.0,6,7,3+,1,0,north,Semi-Furnished,New Property,450.0,Luxury,Low-rise
Independent Builder Floor,Ansal API Esencia,sector 67,2.75,2000.0,4,4,2,1,0,not available,Semi-Furnished,New Property,500.0,Budget,Low-rise
Independent House,"Sector 23A, Gurgaon",sector 23,6.0,1800.0,9,9,3+,0,1,south-west,Unfurnished,Moderately Old,200.0,Budget,Low-rise
Independent Builder Floor,Sushant lok 3,sector 57,2.09,2400.0,3,2,3,0,0,south-west,Unfurnished,Moderately Old,800.0,Budget,Low-rise
Independent Builder Floor,"South City 2, Gurgaon",sector 49,3.4,2160.0,3,3,3+,1,0,north,Semi-Furnished,Relatively New,720.0,Budget,Low-rise
Independent House,Independent Villa,sector 49,10.5,5500.0,5,5,3+,1,0,north-east,Semi-Furnished,Moderately Old,1100.0,Luxury,Low-rise
Independent Builder Floor,Anant Raj Estates,sector 63,2.3,1611.0,3,3,3+,1,0,north,Semi-Furnished,Relatively New,537.0,Budget,Low-rise
Flat,godrej habitat,sector 3,1.32,1444.0,2,2,2,1,0,north,Unfurnished,New Property,722.0,Semi-Luxury,Low-rise
Independent Builder Floor,BPTP Pedestal,sector 70,2.99,2043.0,4,4,1,1,0,west,Semi-Furnished,New Property,510.75,Luxury,Low-rise
Independent House,"Shivpuri, Gurgaon",sector 7,4.25,2250.0,10,6,3+,1,0,south-east,Semi-Furnished,Old Property,225.0,Budget,Low-rise
Independent House,"Jyoti Park, Gurgaon",sector 7,3.0,1500.0,3,3,2,0,0,east,Unfurnished,Relatively New,500.0,Budget,Low-rise
Independent House,DLF City Plots,sector 26,18.5,4518.0,8,9,3+,1,1,north-east,Semi-Furnished,Moderately Old,564.75,Semi-Luxury,Low-rise
Independent Builder Floor,Vatika Independent Floors,sector 82,1.22,940.0,2,2,2,0,0,north-east,Unfurnished,Relatively New,470.0,Semi-Luxury,Low-rise
Independent Builder Floor,"Sushant Lok Phase 1, Gurgaon",sector 43,5.75,4000.0,4,5,2,1,0,east,Semi-Furnished,New Property,1000.0,Budget,Low-rise
Independent Builder Floor,"Sector 23, Gurgaon",sector 23,2.56,2367.0,3,3,2,0,1,south-east,Unfurnished,Relatively New,789.0,Budget,Low-rise
Independent House,Sector 14 RWA,sector 14,5.85,2250.0,3,3,3,0,0,north-east,Unfurnished,Old Property,750.0,Budget,Low-rise
Flat,experion windchants,sector 112,7.28,4848.0,4,4,3,1,0,north,Semi-Furnished,New Property,1212.0,Luxury,Mid-rise
Flat,spaze privy at4,sector 84,1.85,1918.0,3,3,3+,0,0,south-east,Unfurnished,New Property,639.3333333333334,Semi-Luxury,Mid-rise
Flat,m3m heights,sector 65,2.5,1261.0,2,2,3,1,1,west,Furnished,New Property,630.5,Semi-Luxury,Low-rise
Independent House,Eros Rosewood City,sector 49,4.75,1850.0,4,4,2,0,0,east,Unfurnished,Moderately Old,462.5,Budget,Low-rise
Flat,adani m2k oyster grande,sector 102,3.75,3198.0,4,4,3+,1,0,east,Unfurnished,Moderately Old,799.5,Luxury,Mid-rise
Independent House,"Madanpuri, Gurgaon",sector 7,1.4,1017.0,5,4,2,0,0,south,Unfurnished,Relatively New,203.4,Budget,Low-rise
Independent House,Bestech Park View Ananda,sector 81,7.75,5480.0,5,6,3,1,1,south-east,Semi-Furnished,Relatively New,1096.0,Luxury,Low-rise
Independent House,M3M Antalya Hills,sector 79,2.3,1660.0,3,3,2,0,0,east,Unfurnished,Relatively New,553.3333333333334,Budget,Low-rise
Independent Builder Floor,"Sushant Lok 2,Sector 55, Gurgaon",sector 55,3.8,2700.0,4,4,2,0,0,not available,Unfurnished,New Property,675.0,Budget,Low-rise
Independent House,"Sector 14, Gurgaon",sector 14,8.0,2250.0,10,10,0,0,0,not available,Unfurnished,Old Property,225.0,Budget,Low-rise
Independent House,"DLF Phase 1, Gurgaon",sector 26,15.0,2700.0,7,8,3,1,0,north-east,Semi-Furnished,Relatively New,385.7142857142857,Budget,Low-rise
Flat,mahindra aura,sector 110,3.25,2428.0,4,4,3+,1,0,north-east,Unfurnished,Relatively New,607.0,Luxury,Low-rise
Independent Builder Floor,"DLF Phase 2, Gurgaon",sector 25,3.1,1935.0,3,4,3,1,0,north-east,Semi-Furnished,Relatively New,645.0,Budget,Low-rise
Independent Builder Floor,"Sector 57, Gurgaon",sector 57,2.85,2367.0,3,3,2,1,0,north-east,Semi-Furnished,New Property,789.0,Semi-Luxury,Low-rise
Flat,puri diplomatic greens,sector 111,4.75,2950.0,4,5,3+,1,0,east,Unfurnished,Moderately Old,737.5,Semi-Luxury,High-rise
Independent House,Hans Enclave,sector 15,4.5,3600.0,14,8,3+,1,1,north-east,Unfurnished,Old Property,257.14285714285717,Budget,Low-rise
Flat,ats triumph,sector 104,2.65,2290.0,3,4,3+,0,0,east,Unfurnished,Relatively New,763.3333333333334,Luxury,High-rise
Independent House,"G block DLF City Phase 1, Gurgaon",sector 26,7.7,1800.0,3,4,3,1,0,north-east,Unfurnished,Old Property,600.0,Semi-Luxury,Low-rise
Flat,dlf the ultima,sector 81,3.73,2092.0,3,4,3+,1,0,east,Furnished,Moderately Old,697.3333333333334,Semi-Luxury,High-rise
Independent House,"Sector 46, Gurgaon",sector 46,5.4,1499.0,6,6,2,1,1,north-west,Unfurnished,Moderately Old,249.83333333333334,Semi-Luxury,Low-rise
